date,state,committee,type,number of studies
3/17/1989,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Thesis,1
9/1/2008,Tehran,Vice-Chancellor in Research Affairs - Shahid Beheshti University of Medical Sciences,Proposal,1
11/21/2010,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,1
12/24/2010,Sistan and Baluchestan,Zabol University of Medical Sciences,Proposal,1
4/24/2011,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,1
11/27/2011,Tehran,"Research Institute for Oncology, Hematology and Cell Therapy - Tehran University of Medical Sciences",Proposal,1
2/12/2013,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,2
3/10/2013,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,1
3/10/2013,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,2
5/19/2013,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,1
2/18/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,2
3/4/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,1
4/21/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,1
8/30/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,2
8/30/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,2
11/25/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,2
3/17/2015,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,1
3/18/2015,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,2
8/16/2015,Kerman,Jiroft University of Medical Sciences,Thesis,1
10/20/2015,Kerman,Rafsanjan University of Medical Sciences,Proposal,1
2/3/2016,Yazd,National Research Institute of Tuberculosis and Lung Diseases - Shahid Beheshti University of Medical Sciences,Proposal,1
5/14/2016,Yazd,Islamic Azad University-Yazd Branch,Thesis,1
9/10/2016,Tehran,Farabi Eye Hospital- Tehran University of Medical Sciences,Thesis,1
9/11/2016,Alborz,Alborz University of Medical Sciences,Proposal,1
12/25/2016,Khuzestan,Shoushtar Faculty of Medical Sciences,Proposal,1
12/31/2016,Tehran,Farabi Eye Hospital- Tehran University of Medical Sciences,Thesis,1
1/15/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,1
1/22/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,2
2/8/2017,Razavi Khorasan,School of Dentistry - Mashhad University of Medical Sciences,Thesis,1
2/18/2017,Zanjan,Zanjan University of Medical Sciences,Thesis,1
2/22/2017,Razavi Khorasan,School of Medicine- Mashhad University of Medical Sciences,Thesis,1
3/11/2017,Isfahan,Islamic Azad University - Isfahan (Khorasgan) Branch,Thesis,1
4/12/2017,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Thesis,2
4/14/2017,Tehran,School of Medicine,Thesis,1
4/17/2017,Yazd,School of Public Health - Shahid Sadoughi University of Medical Sciences,Thesis,1
4/18/2017,West Azerbaijan,Urmia University of Medical Sciences,Thesis,1
4/26/2017,Khuzestan,Shoushtar Faculty of Medical Sciences,Proposal,1
5/1/2017,Qom,Qom University of Medical Sciences,Proposal,2
5/21/2017,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,1
6/6/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,1
6/19/2017,Lorestan,Islamic Azad University - Boroujerd Branch,Thesis,1
